review,sentiment,Category,Sentiment
phone works expectedit works smooth battery last approximate daysthe camera quality okif want buy parents good go phone use social media general use rather camera video recording purpose,Positive,Phone,Positive
one best phones terms costs looks sleek smart camera okayish,Positive,Phone,Positive
good phone budget,Positive,Phone,Positive
performance better eat brightness brighter touch functionality better user friendly battery keep hour working hours buy phone better go ahead buy idea gaming level better,Positive,Phone,Positive
goodthis third purchase redmi phone prefer redmi phone value money product dont high expectation disappointment previous phones time battery life low previous phone gave buy back option gave two days back till last day returning else new phone giving one half day lifealso phone comes lot apps needed use phone might one reason less battery life tube app many tools intalled system app cant uninstall lot un necessary apps phone dont want makes phone slow less bettery life look feel phone good camera also good previous redmi phones also camera good months quality goes dont know whether happen one also generally able whole heartedly recommend phone,Positive,Phone,Positive
nicenessa good budget smartphone price range,Positive,Phone,Positive
overall good phone,Positive,Phone,Positive
likegood looking phone phone size niceif minimum budget valuableit value money suggest please purchase u low budget u want screen touch phonespeed good sound quality also good camera good,Positive,Phone,Positive
redmi reduced earphone volume connecting earphone volume comparatively lower redmi dont know latest models comes much sound need check buy,Negative,Phone,Negative
people think pay get good phone tell pay less get features premium phones days mobile companies nothing upgrade thay playing game change ram rom camera displaynow lets talk phonexioami always best customization easily cutomize everything without downloading third party app heating phone earier redmi phones heating much time controlled battery battery always issue mi phones draaining faster teasting new phone day used runtime days looking budget phone buy much money spend phone go premium foldable phones,Positive,Phone,Positive
goodgoodlooks really good connectivity also goodbut due offer time purchase items included screen guard transparent mobile cover,Positive,Phone,Positive
redmi c budgetfriendly smartphone aims offer good balance features price comes large vibrant display great media consumption casual gaming design sleek modern aesthetic feels premium price might suggestin terms performance redmi c equipped capable processor handles everyday tasks smoothly though might struggle intensive applications camera setup delivers decent photos welllit conditions inconsistent low light battery life one strong points typically lasting full day moderate useoverall redmi c provides good value cost making solid choice users need reliable phone without breaking bank,Positive,Phone,Positive
goodgoodphone hot time,Neutral,Phone,Neutral
camera quality must better else phone good,Positive,Phone,Positive
although g overall phone good aspects,Positive,Phone,Positive
cooli gift phone grand pa add less add miuithis phone connect ummany persona world brushed ui bit sry mi companyyour phone hazedorus students like mei passed class th previous yearso please keep suck head add phmonocle_facenezzz,Positive,Phone,Positive
budget mobile performance good display works good im budget company provide fast charging support,Positive,Phone,Positive
goodnow im using mobile last months performing well,Positive,Phone,Positive
cooli gift phone grand pa add less add miuithis phone connect ummany persona world brushed ui bit sry mi companyyour phone hazedorus students like mei passed class th previous yearso please keep suck head add phmonocle_facenezzz,Positive,Phone,Positive
budget mobile performance good display works good im budget company provide fast charging support,Positive,Phone,Positive
goodnow im using mobile last months performing well,Positive,Phone,Positive
